wdpaid,name,status_yr,patype
351820,Balata-Tufari,2005,SU
351830,Rio Iriri,2006,SU
351831,Terra Grande-Pracuúba,2006,SU
351832,Rio Unini,2006,SU
351833,Campos Amazônicos,2006,SP
351834,Arapixi,2006,SU
351835,Pau-Rosa,2001,SU
351838,Gurupá-Melgaço,2006,SU
351839,Juruena,2006,SP
351842,Chandles,2004,SP
351843,Rio Gregório,2004,SU
351844,Mogno,2004,SU
351845,Rio Liberdade,2004,SU
351935,Antônio Mujica Nava,1996,SP
351997,Cristalino I,2000,SP
351998,Cristalino II,2001,SP
352020,Lajeado,2001,SP
352027,Xingu,2001,SP
352057,Tucumã,2002,SP
352061,Encontro das Águas,2004,SP
352062,Serra dos Martírios/Andorinhas,1996,SP
352076,Guariba/Roosevelt,1999,SU
352134,Amanã,1998,SU
352135,Catua Ipixuna,2002,SU
352136,Piagaçu Purus,2003,SU
352137,Rio Amapá,2005,SU
352138,Uacari,2005,SU
352139,Cujubim,2003,SU
352140,Uatumã,2004,SU
352141,Maués,2003,SU
352142,Canumã,2005,SU
352143,Rio Urubu,2003,SU
352146,Rio Negro-Setor Sul,1995,SP
352148,Sumauma,2003,SP
352149,Rio Negro-Setor Norte,1995,SP
352150,Aripuanã,2005,SU
352151,Guariba,2005,SU
352152,Guariba,2005,SP
352153,Manicoré,2005,SU
352154,Barariti,2005,SU
352155,Apuí,2005,SU
352156,Sucunduri,2005,SU
352157,Sucunduri,2005,SP
352158,Aripuanã,2005,SU
352159,Rio Jaciparaná,1996,SU
352160,Maracatiara,1995,SU
352161,Massaranduba,1995,SU
352162,Angelim-jequitibá,1995,SU
352163,Ipê,1995,SU
352164,Sucupira,1995,SU
352165,Cedro,1996,SU
352166,Mogno,1995,SU
352167,Garrote,1995,SU
352168,Aquariquara,1995,SU
352169,Seringueiras,1995,SU
352170,Roxinho,1995,SU
352171,Freijó,1995,SU
352172,Piquiá,1995,SU
352173,Castanheira,1995,SU
352174,Itauba,1995,SU
352175,Gavião,1996,SU
352176,Periquitos,1996,SU
352177,Mutum,1996,SU
352178,Araras,1996,SU
352179,Tucano,1996,SU
352180,Jatobá,1995,SU
352181,Curralinho,1995,SU
352182,Rio Pedras Negras,1995,SU
352197,Igarapés do Juruena,2002,SP
352198,Grão Pará,2006,SP
352199,Faro,2006,SU
352200,Parus,2006,SU
352201,Trombetas,2006,SU
352202,Maicuru,2006,SP
352204,Iriri,2006,SU
352217,Pucuruí-Ararão,2002,SU
352218,Alcobaça,NA,SU
352219,Monte Alegre,2001,SP
352257,Médio Rio Negro II,2000,IT
352258,Alto Rio Negro,2000,IT
352259,Médio Rio Negro I,2000,IT
352260,Trombetas/Mapuera,2005,IT
352261,Zo'e,2003,IT
352262,Balaio,2005,IT
352272,Kulina do Rio Envira,1996,IT
352273,Jaminaua/Envira,2003,IT
352274,Arara do Rio Branco,1998,IT
352275,Água Preta/Inari,2000,IT
352276,Camadeni,2000,IT
352277,São Domingos do Jacapari e Estação,2005,IT
352278,Riozinho do Alto Envira,2005,IT
352279,Rio Apaporis,2000,IT
352280,Nova Esperança do Rio Jandiatuba,2004,IT
352281,Bom Intento,2004,IT
352282,Matintin,2005,IT
352287,São Sebastião,2005,IT
352291,Maraitá,2004,IT
352293,São Francisco do Canimari,2004,IT
352294,Sapotal,2005,IT
352298,Mawetek,2004,IT
352299,Kampa do Igarapé Primavera,2002,IT
352300,Kaxinawá do Baixo Rio Jordão,2002,IT
352301,Kaxinawá Seringal Independência,NA,IT
352303,Inauini/Teuini,2000,IT
352310,Cuiu-Cuiu,2004,IT
352311,Rio Téa,2000,IT
352314,Parana do Paricá,2001,IT
352316,Espírito Santo,2005,IT
352317,Acapuri de Cima,2004,IT
352319,Kumaru do Lago Ualá,2005,IT
352320,Porto Praia,2004,IT
352321,Tupã-Supé,2004,IT
352322,Marajai,1997,IT
352323,Cajuhiri Atravessado,2001,IT
352325,Fortaleza do Patauá,2004,IT
352327,Fortaleza do Castanho,2003,IT
352331,Rio Urubu,2005,IT
352332,Lago do Marinheiro,2005,IT
352333,Patauá,2004,IT
352334,Apipica,2004,IT
352338,Paraná do Arauató,2005,IT
352339,Rio Jumas,2004,IT
352341,São Pedro,1999,IT
352343,Miguel/Josefa,2002,IT
352346,Hi Merimã,2005,IT
352348,Apurinã do Igarapé Mucuim,2004,IT
352353,Rio Pardo,2004,IT
352354,Tenharim Marmelos (Gleba B),2005,IT
352355,Pinatuba,2001,IT
352357,Ariramba,NA,IT
352358,Lago Jauari,2005,IT
352359,Lago Capanã,2004,IT
352360,Torá,2004,IT
352361,Diahui,2005,IT
352364,Aripuanã,1994,IT
352371,Panará,2002,IT
352372,Sarauá,2002,IT
352392,Barreirinha,2005,IT
352393,Nova Jacundá,1996,IT
352394,Kuruáya,2005,IT
352395,Xipaya,2003,IT
352396,Badjonkore,2004,IT
352398,Karajá Santana do Araguaia,1989,IT
352410,Wawi,1999,IT
352412,Parque do Xingu,1987,IT
352413,Batelão,2004,IT
352417,Batovi,1999,IT
352421,Maraiwatsede,1999,IT
354007,Chapada Limpa,2007,SU
478418,Iquiri,2008,SU
478419,Nascentes do Lago Jari,2008,SP
478420,Médio Purus,2008,SU
478421,Ituxí,2008,SU
478422,Rio Xingu,2008,SU
478426,Renascer,2009,SU
478431,Mapinguari,2008,SP
478539,Juma,2006,SU
